type_id,display_name,category,range_nm,cruise_speed_kts,fuel_burn_gph,mtow_lbs,runway_req_ft,purchase_price,weekly_lease_cost,eec,maintenance_interval_weeks
MD90,McDonnell Douglas MD-90,NARROW,2045,438,850,156000,7000,80000000,800000,160,null
A19N,Airbus A319neo,NARROW,3650,447,620,166000,6000,100000000,1000000,160,null  
BCS3,Bombardier CS300,NARROW,3300,447,580,149000,5500,98000000,980000,160,null
C919,Comac C919,NARROW,2200,450,750,158000,6500,70000000,700000,168,null
TU44,Tupolev Tu-144D,WIDE,3500,1100,6000,456000,11000,250000000,2500000,170,null
B37M,Boeing 737 MAX 7,NARROW,3850,453,680,177000,6000,105000000,1050000,172,null
TU54,Tupolev Tu-154,NARROW,2800,460,1200,220000,8000,45000000,450000,180,null
A320,Airbus A320,NARROW,3300,447,790,171900,6800,100000000,1000000,180,null
B738,Boeing 737-800,NARROW,2935,453,820,174200,7500,100000000,1000000,184,null
IL62,Ilyushin Il-62,NARROW,5400,460,1800,360000,10000,60000000,600000,186,null
B734,Boeing 737-400,NARROW,2060,430,800,150000,7000,90000000,900000,188,null
B722,Boeing 727-200,NARROW,1900,460,1100,210000,8500,87500000,875000,189,null
B739,Boeing 737-900,NARROW,2700,453,860,174200,8500,105000000,1050000,189,null
B38M,Boeing 737 MAX 8,NARROW,3550,453,700,181200,6500,110000000,1100000,189,null    
DC85,McDonnell Douglas DC-8-50,NARROW,4800,470,1500,315000,9500,80000000,800000,189,null
A20N,Airbus A320neo,NARROW,3500,447,680,174165,6500,110000000,1100000,195,null
TU24,Tupolev Tu-204,NARROW,2300,440,900,230000,7500,50000000,500000,210,null
MC21,Irkut MC-21-300,NARROW,3200,450,700,175000,7000,80000000,800000,211,null
B739ER,Boeing 737-900ER,NARROW,2950,453,880,187700,9000,110000000,1100000,220,null
B39M,Boeing 737 MAX 9,NARROW,3550,453,720,194700,7000,124000000,1240000,220,null
B3XM,Boeing 737 MAX 10,NARROW,3300,453,740,197900,7500,132000000,1320000,230,null
A321,Airbus A321,NARROW,3200,447,880,206130,8400,120000000,1200000,236,null
A21NXLR,Airbus A321neoXLR,NARROW,4700,447,770,213800,7000,133000000,1330000,236,null
B752,Boeing 757-200,NARROW,3900,460,1050,255000,6500,125000000,1250000,239,null
B752ER,Boeing 757-200ER,NARROW,4100,460,1050,255000,6500,135000000,1350000,239,null
A312,Airbus A310-200,WIDE,3670,450,1200,313000,7000,125000000,1250000,240,null
A313,Airbus A310-300,WIDE,5200,450,1250,361500,7500,130000000,1300000,240,null
A21NL,Airbus A321neoLR,NARROW,4000,447,760,213800,6800,132000000,1320000,240,null
A21N,Airbus A321neo,NARROW,4000,447,750,213800,6500,130000000,1300000,244,null
B762,Boeing 767-200,WIDE,3900,459,1200,315000,7000,140000000,1400000,245,null       
B762ER,Boeing 767-200ER,WIDE,6590,459,1250,395000,8500,150000000,1500000,245,null
B788,Boeing 787-8 Dreamliner,WIDE,7305,488,1350,502500,8500,125000000,1250000,250,null
A306,Airbus A300-600,WIDE,4050,450,1400,375000,7500,110000000,1100000,266,null
B763,Boeing 767-300,WIDE,3900,459,1450,350000,8000,137500000,1375000,290,null
MD11,McDonnell Douglas MD-11,WIDE,6840,473,2200,602500,10000,125000000,1250000,293,null
B753,Boeing 757-300,NARROW,3400,460,1100,272500,8000,130000000,1300000,295,null
IL96,Ilyushin Il-96-300,WIDE,6200,460,2300,551000,9000,100000000,1000000,300,null 
B789,Boeing 787-9 Dreamliner,WIDE,7635,488,1450,560000,9300,175000000,1750000,300,null
A342,Airbus A340-200,WIDE,6700,470,1900,606000,9500,200000000,2000000,315,null
L101,Lockheed L-1011-500,WIDE,5345,470,2100,510000,9000,130000000,1300000,330,null
IL86,Ilyushin Il-86,WIDE,2700,460,2500,458000,9500,105000000,1050000,350,null
A343,Airbus A340-300,WIDE,7300,470,2000,606000,9800,230000000,2300000,350,null
B763ER,Boeing 767-300ER,WIDE,5980,459,1500,412000,7900,220000000,2200000,350,null
B78X,Boeing 787-10 Dreamliner,WIDE,6430,488,1550,560000,9500,225000000,2250000,360,null
A345,Airbus A340-500,WIDE,8650,470,2400,840000,10500,270000000,2700000,375,null
A332,Airbus A330-200,WIDE,7250,470,1700,533500,9090,220000000,2200000,380,null
DC10,McDonnell Douglas DC-10-30,WIDE,5200,470,2400,572000,10000,180000000,1800000,380,null
A358,Airbus A350-800,WIDE,8250,488,1500,546700,8500,280000000,2800000,390,null
B74S,Boeing 747SP,WIDE,5830,490,3000,700000,9000,235000000,2350000,400,null
A333,Airbus A330-300,WIDE,6350,470,1800,533500,9090,235000000,2350000,404,null
A338,Airbus A330-800neo,WIDE,750,470,1550,553000,8800,260000000,2600000,406,null
B764,Boeing 767-400ER,WIDE,5625,459,1600,450000,9500,225000000,2250000,409,null
A359,Airbus A350-900,WIDE,8100,488,1600,617295,8500,280000000,2800000,440,null
A339,Airbus A330-900neo,WIDE,7200,470,1650,553000,9000,290000000,2900000,440,null
A346,Airbus A340-600,WIDE,7500,470,2600,840000,10500,290000000,2900000,440,null
A35U,Airbus A350-900ULR,WIDE,9700,488,1650,617295,9000,325000000,3250000,440,null
B772,Boeing 777-200,WIDE,5240,490,1900,545000,8000,280000000,2800000,440,null
B72E,Boeing 777-200ER,WIDE,7065,490,2100,656000,11000,285000000,2850000,440,null
B77L,Boeing 777-200LR,WIDE,8555,490,2200,766000,9500,290000000,2900000,440,null
B778,Boeing 777-8,WIDE,8690,490,2000,775000,10000,340000000,3400000,440,null
A35K,Airbus A350-1000,WIDE,8700,488,1750,696000,9500,360000000,3600000,475,null
B741,Boeing 747-100,WIDE,4620,490,3400,735000,10500,250000000,2500000,550,null
B742,Boeing 747-200,WIDE,6850,490,3400,833000,11000,260000000,2600000,550,null
B773,Boeing 777-300,WIDE,6000,490,2400,660000,10500,340000000,3400000,550,null
B77W,Boeing 777-300ER,WIDE,7370,490,2530,775000,10000,345000000,3450000,550,null
B779,Boeing 777-9,WIDE,7285,490,2400,775000,10000,450000000,4500000,550,null
B748,Boeing 747-8i,WIDE,7730,493,2900,987000,10200,420000000,4200000,605,null
B743,Boeing 747-300,WIDE,6700,490,3500,833000,11000,290000000,2900000,660,null
B744,Boeing 747-400,WIDE,7260,490,3200,875000,9900,350000000,3500000,660,null
A388,Airbus A380-800,WIDE,8000,488,4000,1268000,9800,450000000,4500000,853,null
